api10,DocName,DocUrl,Start,Stop,Step,Step Units,Number of Curves,CurveNameArr
507107019,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2341901,387.1,1748,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107556,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2607826,130,1766.9,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107556,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2607827,115,1768.25,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107724,LAS-GAMMA RAY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584722,660.8,2375.1,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107724,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2370409,-2.75,2139.25,0.25,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507107724,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584721,662.5,2384,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107726,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584716,574,2449.5,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107726,LAS-GAMMA RAY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584717,577.8,2445.8,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107727,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584643,392.5,2254,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107727,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584641,-8.25,2209.75,0.25,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507107727,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584642,392.5,2252.6,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
