wkt_geom,OBJECTID,link_fld,api,operator,well,symbol,sdf_key,id,type,status,oper_num,well_num,well_name,field_code,dist_n_s,dir_n_s,dist_e_w,dir_e_w,qtrqtr,sec,twp,range,meridian,lat,long_,ground_ele,utm_x,utm_y,LocQual,field_name,name,api_seq_nu,api_county,HF_Range,Gradient_R,HF_Tier,Gradient_T
Point (510039 4111416),334,7109485,05-071-09485,XTO ENERGY INC,28-01 GOLDEN EAGLE,LO_XX,07109485&TYPE=WELL,164,WELL,PR,100264,28-01,GOLDEN EAGLE,70830,558,N,938,E,NENE,28,33S,67W,6,37.149079,-104.886956,7168,510039,4111416,PLANNED LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9485,71,150-160,60-70,1,2
Point (505692 4117839.0000000037252903),471,7108913,05-071-08913,PIONEER NATURAL RESOURCES USA INC,11-6V Montoya,LO_XX,07108913&TYPE=WELL,47,WELL,PR,10084,11-6V,Montoya,70830,0,,0,,NWNW,6,33S,67W,6,37.20701,-104.93585,8272,505692,4117839,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,8913,71,150-160,60-70,1,2
Point (509051.00000000093132257 4108692.0000000037252903),607,7109487,05-071-09487,XTO ENERGY INC,33-12 GOLDEN EAGLE,LO_XX,07109487&TYPE=WELL,268,WELL,PR,100264,33-12,GOLDEN EAGLE,70830,0,,0,,NWSW,33,33S,67W,6,37.12453,-104.898113,7822,509051,4108692,ACTUAL LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9487,71,140-150,50-60,2,3
Point (511148.00000000093132257 4119988),640,7109493,05-071-09493,PIONEER NATURAL RESOURCES USA INC,33-27 HELTON DEEP,LO_XX,07109493&TYPE=WELL,336,WELL,PR,10084,33-27,HELTON DEEP,70830,0,,0,,NWSE,27,32S,67W,6,37.22633,-104.87434,7794,511148,4119988,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9493,71,160-170,50-60,1,3
Point (525315 4130657.00000000186264515),1223,7109489,05-071-09489,PIONEER NATURAL RESOURCES USA INC,21-30 VANDER,LO_XX,07109489&TYPE=WELL,287,WELL,PR,10084,21-30,VANDER,70830,0,,0,,NENW,30,31S,65W,6,37.32222,-104.71428,7020,525315,4130657,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9489,71,120-130,60-70,2,2
Point (504781 4121164),1224,7109492,05-071-09492,PIONEER NATURAL RESOURCES USA INC,31-25 MICHELLE DEEP,LO_XX,07109492&TYPE=WELL,319,WELL,PR,10084,31-25,MICHELLE DEEP,70830,0,,0,,NWNE,25,32S,68W,6,37.23699,-104.9461,8336,504781,4121164,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9492,71,140-150,50-60,2,3
Point (533764 4105343),1269,7108915,05-071-08915,PIONEER NATURAL RESOURCES USA INC,34-12 LUIGI,LO_XX,07108915&TYPE=WELL,44,WELL,PR,10084,34-12,LUIGI,70830,0,,0,,SWSE,12,34S,65W,6,37.09378,-104.62006,6477,533764,4105343,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,8915,71,120-130,80-90,2,1
Point (510971.00000000093132257 4116740),1270,7109486,05-071-09486,PIONEER NATURAL RESOURCES USA INC,24-3 MARILYN DEEP,LO_XX,07109486&TYPE=WELL,246,WELL,PR,10084,24-3,MARILYN DEEP,70830,0,,0,,SESW,3,33S,67W,6,37.19706,-104.87638,7534,510971,4116740,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9486,71,160-170,50-60,1,3
Point (511426.00000000093132257 4108554.0000000037252903),1054,7109491,05-071-09491,XTO ENERGY INC,34-15 GOLDEN EAGLE,LO_XX,07109491&TYPE=WELL,303,WELL,XX,100264,34-15,GOLDEN EAGLE,70830,1020,S,1583,E,SWSE,34,33S,67W,6,37.123259,-104.871374,7244,511426,4108554,PLANNED LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9491,71,140-150,60-70,2,2
Point (535681.00000000093132257 4103454),1445,7108914,05-071-08914,PIONEER NATURAL RESOURCES USA INC,41-19 LUNA,LO_XX,07108914&TYPE=WELL,46,WELL,PR,10084,41-19,LUNA,70830,0,,0,,NENE,19,34S,64W,6,37.07668,-104.59858,6806,535681,4103454,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,8914,71,120-130,90-100,2,1
Point (510136 4108770.99999999813735485),1740,7109484,05-071-09484,XTO ENERGY INC,33-9 GOLDEN EAGLE,LO_XX,07109484&TYPE=WELL,163,WELL,DG,100264,33-9,GOLDEN EAGLE,70830,0,,0,,NESE,33,33S,67W,6,37.125236,-104.885897,7516,510136,4108771,ACTUAL LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9484,71,140-150,60-70,2,2
Point (509030.00000000093132257 4110390.0000000037252903),2447,7109494,05-071-09494,XTO ENERGY INC,28-13 GOLDEN EAGLE,LO_XX,07109494&TYPE=WELL,340,WELL,PR,100264,28-13,GOLDEN EAGLE,70830,1291,S,785,W,SWSW,28,33S,67W,6,37.139833,-104.89833,7240,509030,4110390,PLANNED LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9494,71,140-150,60-70,2,2
Point (516483 4120424),2288,7109488,05-071-09488,PIONEER NATURAL RESOURCES USA INC,42-30 HARVARD,LO_XX,07109488&TYPE=WELL,272,WELL,PR,10084,42-30,HARVARD,70830,0,,0,,SENE,30,32S,66W,6,37.23018,-104.81419,7783,516483,4120424,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9488,71,170-180,40-50,1,4
Point (515390.00000000093132257 4124822),4758,7107935,05-071-07935,PIONEER NATURAL RESOURCES USA INC,13-7 DESOTO,LO_XX,07107935&TYPE=WELL,270191,WELL,PR,10084,13-7,DESOTO,70830,1503,S,1105,W,NWSW,7,32S,66W,6,37.269841,-104.826419,8075,515390,4124822,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7935,71,150-160,50-60,1,3
Point (512592.00000000093132257 4114818),6066,7107937,05-071-07937,PIONEER NATURAL RESOURCES USA INC,24-11 KV FIRE FLY,LO_XX,07107937&TYPE=WELL,270208,WELL,PR,10084,24-11 KV,FIRE FLY,70830,380,S,2356,W,SESW,11,33S,67W,6,37.179712,-104.858139,7485,512592,4114818,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7937,71,160-170,50-60,1,3
Point (518788.00000000093132257 4100881.00000000186264515),6254,7107936,05-071-07936,PIONEER NATURAL RESOURCES USA INC,11-28-34-66 KV LORENCITO,LO_XX,07107936&TYPE=WELL,270209,WELL,PR,10084,11-28-34-66 KV,LORENCITO,70830,2557,S,1434,W,NESW,28,34S,66W,6,37.053975,-104.788696,7675,518788,4100881,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7936,71,130-140,50-60,2,3
Point (518019.00000000093132257 4111790),9577,7106868,05-071-06868,PIONEER NATURAL RESOURCES USA INC,44-20 CLYDESDALE,LO_XX,07106868&TYPE=WELL,199974,WELL,PR,10084,44-20,CLYDESDALE,70830,955,S,911,E,SESE,20,33S,66W,6,37.152323,-104.797077,7205,518019,4111790,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6868,71,160-170,70-80,1,1
Point (524138.00000000093132257 4098765.00000000186264515),11106,7106866,05-071-06866,PIONEER NATURAL RESOURCES USA INC,34-36 OX,LO_XX,07106866&TYPE=WELL,199976,WELL,PR,10084,34-36,OX,70830,343,S,2021,E,SWSE,36,34S,66W,6,37.034775,-104.728594,7554,524138,4098765,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6866,71,120-130,60-70,2,2
Point (514586 4118117.00000000186264515),12905,7106870,05-071-06870,PIONEER NATURAL RESOURCES USA INC,34-36 MCDONALD STATE,LO_XX,07106870&TYPE=WELL,199972,WELL,PR,10084,34-36,MCDONALD STATE,70830,625,S,1902,E,SWSE,36,32S,67W,6,37.209422,-104.835619,7340,514586,4118117,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6870,71,170-180,40-50,1,4
Point (523499.00000000093132257 4119817),14046,7109490,05-071-09490,PIONEER NATURAL RESOURCES USA INC,24-25 TWILIGHT ZONE,LO_XX,07109490&TYPE=WELL,288,WELL,PR,10084,24-25,TWILIGHT ZONE,70830,0,,0,,SESW,25,32S,66W,6,37.22456,-104.73512,7295,523499,4119817,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9490,71,190-200,50-60,1,3
Point (516067.00000000186264515 4118425),14459,7106869,05-071-06869,PIONEER NATURAL RESOURCES USA INC,33-31 MCDONALD,LO_XX,07106869&TYPE=WELL,199973,WELL,PA,10084,33-31,MCDONALD,70830,1661,S,1871,E,NWSE,31,32S,66W,6,37.212172,-104.818918,7362,516067,4118425,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6869,71,170-180,50-60,1,3
Point (513752 4120604.00000000186264515),15587,7106864,05-071-06864,PIONEER NATURAL RESOURCES USA INC,12-25 KATLYNN,LO_XX,07106864&TYPE=WELL,199978,WELL,PR,10084,12-25,KATLYNN,70830,1800,N,903,W,SWNW,25,32S,67W,6,37.231851,-104.844969,7475,513752,4120604,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6864,71,160-170,40-50,1,4
